section,subsection,fax_item_name,fax_row_code,csv_column_code,csv_column_number,csv_column_name,category,is_sum_field,mapping_status,confidence,needs_confirmation,source_file,memo
案件,,au案件新規,,AU,47,,案件,false,confirmed,high,false,対応表.pdf,
案件,,au案件新規,,DL,116,,案件,false,confirmed,high,false,対応表.pdf,
案件,,au案件既存,,AV,48,,案件,false,confirmed,high,false,対応表.pdf,
案件,,au案件既存,,DM,117,,案件,false,confirmed,high,false,対応表.pdf,
案件,,その他案件新規,,AY,51,,案件,false,confirmed,high,false,対応表.pdf,
案件,,その他案件新規,,DP,120,,案件,false,confirmed,high,false,対応表.pdf,
案件,,その他案件既存,,AZ,52,,案件,false,confirmed,high,false,対応表.pdf,
案件,,その他案件既存,,DQ,121,,案件,false,confirmed,high,false,対応表.pdf,
案件,,合計（数字で記入）,,AI,35,,案件,false,confirmed,high,false,対応表.pdf,
案件,,合計（数字で記入）,,CZ,104,,案件,false,confirmed,high,false,対応表.pdf,
内訳,①,eo光ユーザー数（HT/Mz）,,P,16,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,BA,53,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,BB,54,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,BC,55,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,DR,122,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,DS,123,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,①,eo光ユーザー数（HT/Mz）,,DT,124,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
内訳,②,フレッツ光ユーザー数（HT/Mz）,,Q,17,,内訳,false,confirmed,high,false,対応表.pdf,複数コードが紐付き。運用上の意味は確認要
