store_code,store_name,store_no,source_file,memo
AU1KW740165,ａｕショップ　ニトリモール枚方,001,店舗名　スタッフ名.xlsx,
AU1KW740082,ａｕショップ　守口南寺方,002,店舗名　スタッフ名.xlsx,
AU1KC901225,ａｕショップ　くずはモール,003,店舗名　スタッフ名.xlsx,
AU1KC490278,ａｕショップ　魚住,004,店舗名　スタッフ名.xlsx,
AU1KC490237,ａｕショップ　イオンモール大日,005,店舗名　スタッフ名.xlsx,
AU1KC400079,ａｕショップ　広畑,006,店舗名　スタッフ名.xlsx,
AU1KC400038,ａｕショップ　宝殿,007,店舗名　スタッフ名.xlsx,
AU1KC400020,ａｕショップ　ＪＲ神戸北,008,店舗名　スタッフ名.xlsx,
AU1KC400012,ａｕショップ　明石大久保,009,店舗名　スタッフ名.xlsx,
AU1KC310039,ａｕショップ　熊取,010,店舗名　スタッフ名.xlsx,
AU1KC310021,ａｕショップ　高石,011,店舗名　スタッフ名.xlsx,
AU1KB830227,ａｕショップ　イオンモール鶴見緑地,012,店舗名　スタッフ名.xlsx,
AU1KB830201,ａｕショップ　イオンモール堺北花田,013,店舗名　スタッフ名.xlsx,
AU1K4330093,ａｕＳｔｙｌｅ　布施,014,店舗名　スタッフ名.xlsx,
AU1K4280454,ａｕショップ　高砂明姫,015,店舗名　スタッフ名.xlsx,
AU1K4150749,ａｕショップ　羽曳野伊賀,016,店舗名　スタッフ名.xlsx,
AU1K4050139,ａｕショップ　イオンモール神戸北,017,店舗名　スタッフ名.xlsx,
AU1K4050055,ａｕショップ　ららぽーとＥＸＰＯＣＩＴＹ,018,店舗名　スタッフ名.xlsx,
AU1K3430050,ａｕショップ　ＪＲ六甲道,019,店舗名　スタッフ名.xlsx,
AU1K209A044,ａｕショップ　神戸ハーバーランドｕｍｉｅ,020,店舗名　スタッフ名.xlsx,
AU1K0620604,ａｕＳｔｙｌｅ　松井山手,021,店舗名　スタッフ名.xlsx,
AU1K0620331,ａｕＳｔｙｌｅ　尼崎下坂部,022,店舗名　スタッフ名.xlsx,
AU1K0024112,ａｕショップ　小倉,023,店舗名　スタッフ名.xlsx,
AU1K0024104,ａｕショップ　深江橋,024,店舗名　スタッフ名.xlsx,
